media_ID,media_type,media_title,runtime,average_rating
tt0443708,movie,Page 3,139,6.7
tt0165907,movie,Paheli,131,8.4
tt0010548,movie,Paid in Full,50,5.7
tt0064782,movie,Paint Your Wagon,164,7
tt0104455,movie,Hua pi zhi: Yin yang fa wang,94,6
tt1055300,movie,Hua pi,103,6.2
tt0058440,movie,Pajama Party,82,4.8
tt0089767,movie,Pale Rider,115,5.5
tt0362004,movie,Palindromes,100,7.3
tt0120782,movie,Palmetto,114,7
tt0117284,movie,Palookaville,92,8
tt0309977,movie,Pan Tadeusz,124,8.3
tt0210217,movie,Pandaemonium,124,7.8
tt0043899,movie,Pandora and the Flying Dutchman,122,6
tt0075035,movie,Bakterion,93,6.7
tt0127719,movie,Panic,69,6.8
tt0228695,movie,O panikos,89,8.2
tt0239853,movie,PÃ¡nico,85,7
tt1084726,movie,PÃ¡nik,94,5.7
tt0258000,movie,Panic Room,112,6.8
tt0042832,movie,Panic in the Streets,96,6.8
tt0133314,movie,Paparazzi,111,7.2
tt0070510,movie,Paper Moon,102,7
tt0309986,movie,Paper Soldiers,88,6.9
tt0070511,movie,Papillon,151,6.2
tt0048468,movie,Paradiset,93,7.2
tt0084469,movie,Paradise,100,6.6
tt0091719,movie,Paradies,106,6.2
tt10081788,movie,Loiseau de paradis,89,8.3
tt10189540,movie,Paradise - Una nuova vita,85,4.2
tt1899354,movie,Paradeisos,105,8.2
tt2866676,movie,ParaÃ­so,105,6.3
tt3971202,movie,Le paradis,68,6.2
