media_ID,genre
tt0292886,"Action,Comedy,Drama"
tt0306206,"Adventure,Animation,Sci-Fi"
tt0090570,"Biography,Drama,Romance"
tt0134273,"Crime,Drama,Mystery"
tt0370244,"Adventure,Comedy,Crime"
tt0312318,Documentary
tt0972353,Documentary
tt1577238,Documentary
tt2035062,"Biography,Documentary"
tt2081945,Documentary
tt4917224,Action
tt5940452,"Comedy,Documentary"
tt7606930,"Drama,History"
tt0092499,Documentary
tt0121506,"Action,Comedy"
tt0268978,"Biography,Drama"
tt0617861,Comedy
tt1774081,Comedy
tt0092263,"Action,Crime,Drama"
tt0214531,Short
tt1138442,"Action,Crime,Drama"
tt1747466,"Animation,Comedy,Fantasy"
tt2641190,"Action,Adventure,Animation"
tt3108594,Short
tt0094357,"Action,Crime,Drama"
tt0168504,"Action,Comedy,Crime"
tt0259894,"Comedy,Documentary,Music"
tt0038379,"Drama,Family,Short"
tt0072730,"Comedy,Drama,Sci-Fi"
tt0147923,"Animation,Short"
tt2539226,"Drama,Horror,Mystery"
tt0075784,"Drama,History,War"
tt0516445,"Comedy,Drama"
tt0543342,"Crime,Drama,Game-Show"
tt0719751,Comedy
tt1138808,"Documentary,War"
tt1590748,"Adventure,Biography,Comedy"
tt4273450,"Adventure,Reality-TV"
tt7398826,"Crime,Documentary,Mystery"
tt7507418,"Adventure,Documentary,Reality-TV"
tt8940028,"Crime,Documentary"
tt0069823,"Drama,Romance"
tt0126220,"Drama,War"
tt0106489,"Crime,Drama,Romance"
tt11774282,"Documentary,Reality-TV"
tt3780400,"Documentary,News"
tt7081992,Reality-TV
tt0120623,"Adventure,Animation,Comedy"
tt0291777,"Adventure,Comedy,Family"
tt0578067,"Action,Adventure,Drama"
tt1328724,Documentary
tt3014060,"Comedy,Short,Talk-Show"
tt5289620,"Documentary,Short"
tt0125680,Drama
tt0167820,Documentary
tt0342180,Documentary
tt0000823,"Drama,Short"
tt0156391,Drama
tt0283037,"Drama,Family"
tt0506304,"Action,Adventure,Family"
tt0620924,"Drama,Romance"
tt0681299,"Drama,Romance"
tt0733088,Drama
tt0935554,"Adventure,Animation,Drama"
tt1795960,"Comedy,Romance"
tt3300014,"Comedy,Drama,Romance"
tt3411808,Comedy
tt7286524,"Comedy,Horror"
tt0109396,"Drama,Romance"
tt0059026,"Animation,Comedy,Drama"
tt2569076,"Comedy,Short"
tt0283987,"Animation,Comedy,Family"
tt0093978,"Action,Fantasy,Horror"
tt0088915,"Drama,Music,Musical"
tt7677198,Musical
tt0001544,"Drama,Fantasy,Short"
tt0001544,"Drama,Fantasy,Short"
tt0001544,"Drama,Fantasy,Short"
tt0029992,"Drama,Family,Fantasy"
tt0029992,"Drama,Family,Fantasy"
tt0029992,"Drama,Family,Fantasy"
tt0039562,"Drama,Fantasy"
tt0039562,"Drama,Fantasy"
tt0039562,"Drama,Fantasy"
tt0044008,"Drama,Fantasy"
tt0044008,"Drama,Fantasy"
tt0044008,"Drama,Fantasy"
tt0046855,"Adventure,Drama,Family"
tt0046855,"Adventure,Drama,Family"
tt0046855,"Adventure,Drama,Family"
tt0068373,"Animation,Drama,Family"
tt0068373,"Animation,Drama,Family"
tt0068373,"Animation,Drama,Family"
tt0087056,"Drama,Family,Fantasy"
tt0087056,"Drama,Family,Fantasy"
tt0087056,"Drama,Family,Fantasy"
tt0112668,"Adventure,Animation,Drama"
tt0112668,"Adventure,Animation,Drama"
tt0112668,"Adventure,Animation,Drama"
tt0188504,"Drama,Fantasy"
tt0188504,"Drama,Fantasy"
tt0188504,"Drama,Fantasy"
tt0212490,"Drama,Fantasy,Short"
tt0212490,"Drama,Fantasy,Short"
tt0212490,"Drama,Fantasy,Short"
tt0216621,"Drama,Fantasy"
tt0216621,"Drama,Fantasy"
tt0216621,"Drama,Fantasy"
tt0225393,"Drama,Fantasy"
tt0225393,"Drama,Fantasy"
tt0225393,"Drama,Fantasy"
tt0227887,"Action,Adventure,Drama"
tt0227887,"Action,Adventure,Drama"
tt0227887,"Action,Adventure,Drama"
tt0233449,"Drama,Fantasy,Short"
tt0233449,"Drama,Fantasy,Short"
tt0233449,"Drama,Fantasy,Short"
tt0291816,"Drama,Fantasy"
tt0291816,"Drama,Fantasy"
tt0291816,"Drama,Fantasy"
tt0321681,"Drama,Fantasy"
tt0321681,"Drama,Fantasy"
tt0321681,"Drama,Fantasy"
tt0330149,"Drama,Family,Fantasy"
tt0330149,"Drama,Family,Fantasy"
tt0330149,"Drama,Family,Fantasy"
tt0330150,Drama
tt0330150,Drama
tt0330150,Drama
tt0330151,"Drama,Family,Fantasy"
